date,curah,kemasan sederhana,kemasan premium
2022-01-03,112.8651300154923,111.8656561998862,109.37042354285605
2022-01-04,112.61115807576346,111.95877088614141,109.36250102032487
2022-01-05,113.27148511905843,112.34566240753195,109.9250001200382
2022-01-06,113.94197103994254,112.7572293207801,109.78239471447708
2022-01-07,113.33243838459333,112.9131964202576,110.09137309319289
2022-01-10,113.59656920191132,112.76188505509286,110.5429568774698
2022-01-11,112.6213169533526,112.20319693756142,110.64594967037505
2022-01-12,112.93624215861635,115.46221095649476,111.28767399540014
2022-01-13,113.37307389494995,113.28984532616005,112.00862354573695
2022-01-14,113.70831685539203,114.43981170141224,112.49981994266976
2022-01-17,114.04636226482418,114.5245460659045,112.88802354669727
2022-01-18,114.05722175466086,115.60188298587761,112.85633345657257
2022-01-19,113.93776736645738,115.48548962805856,113.0306289522584
2022-01-20,113.64456114086698,115.13630955460141,112.19084156395395
2022-01-21,113.56854471201021,113.56998751080796,111.81056048245762
2022-01-24,113.42737134413336,112.37778697428999,111.62041994170946
2022-01-25,112.59119062670892,113.07614712120429,110.48749921975158
2022-01-26,112.38486031981199,111.1440173814081,108.63362894745687
2022-01-27,112.0264971552015,109.57270705085097,107.65915867612247
2022-01-28,110.67992041545307,107.78024934043763,106.2568721881047
2022-01-31,110.2021028626391,105.9877916300243,103.76920011331607
2022-02-02,109.5722524521116,105.2079561326367,99.16621452270404
2022-02-03,109.09443489929762,103.29910506440432,98.09667398099555
2022-02-04,109.10529438913431,103.34566240753193,98.39772983718017
2022-02-07,107.84559356807932,102.39123687341576,97.59755506153158
2022-02-08,108.22567571236314,102.7636956184367,95.79914244695512
2022-02-09,105.30447294629595,101.33205731726243,94.35724334628145
2022-02-10,104.77235794429858,101.6163896627918,94.39685595893734
2022-02-11,105.46620177707796,100.49236237871074,93.95319469719158
2022-02-14,104.04477212524095,99.24944759342877,94.01657487744097
2022-02-15,104.5225896780549,99.31429532135652,94.23840550831383
2022-02-16,105.08728314956232,98.74147372466135,94.03241992250332
2022-02-17,103.93656506579687,98.63339417811508,93.97696226478512
2022-02-18,102.90181081993026,98.63339417811508,93.8581244268175
2022-02-21,99.85378472612754,97.35805552886924,93.3748505524159
2022-02-22,100.03374198627826,98.53612258622346,93.24016766938594
2022-02-23,100.70858171184345,97.7579498510904,93.18471001166772
2022-02-24,100.02249465751885,97.73633394178115,93.7630541564434
2022-02-25,99.26892363063773,98.25511576520319,93.33523793976002
2022-03-01,99.651332808458,99.1413680468825,92.54298568664262
2022-03-02,99.85378472612754,99.19540782015564,92.93911181320132
2022-03-04,100.5736137667304,99.54126236910366,94.29386316603207
2022-03-07,100.95602294455068,100.61124987991161,95.44262893305228
2022-03-08,101.21471150601732,99.91954078201557,97.74808298962391
2022-03-09,101.28219547857384,100.28701124027283,99.68165864011101
2022-03-10,101.01225958834776,99.58449418772216,99.33882948330749
2022-03-11,100.91103362951299,99.21702372946487,99.06946371724757
2022-03-14,100.89978630075358,99.80945976238512,98.1797404293527
2022-03-15,100.26993589022608,98.8231338264963,98.39196800261203
2022-03-16,100,100,100
2022-03-17,105.5561804071533,111.83591123066576,110.34201289690637
2022-03-18,108.58171184343719,121.71037883882536,126.22311443963758
2022-03-21,111.2385808370512,129.44948171509404,133.40735690243775
2022-03-22,112.85007310763694,132.1104746886812,134.80172086792436
2022-03-23,111.98965245754134,136.5635507733692,136.4020704192215
2022-03-24,114.01417163423686,135.7680356190432,136.7585839331243
2022-03-25,115.07142053762234,136.51937481158544,136.59221095996966
2022-03-28,112.99066471712969,138.1316234955824,137.11509744702713
2022-03-29,115.22888314025421,139.1021032859495,137.86773708748865
2022-03-30,115.37509841412663,138.87252742156159,137.8281244748328
2022-03-31,114.88021594871218,139.04992695313405,137.81227942977043
2022-04-01,116.1140895703937,139.83257194536557,139.1511857375388
2022-04-04,118.6260263187493,142.14189643577672,140.67231006352424
2022-04-05,116.87661680350918,142.73705447209144,142.23304700216548
2022-04-06,115.67832639748062,142.57565568258238,141.93991366851208
2022-04-07,114.82657484232111,143.8063214525891,141.85276592066913
2022-04-08,116.37069529320121,143.71553463349025,142.1142091641979
2022-04-11,114.8310609563562,140.9818426361802,141.67054790245214
2022-04-12,115.18389382521651,143.78614660390048,141.4962524067663
