date,expenditure_group,inflation
2021-01-01,"Makanan, minuman & tembakau",2.8142411936915703
2021-02-01,"Makanan, minuman & tembakau",1.9176800748362928
2021-03-01,"Makanan, minuman & tembakau",2.2240912064293012
2021-04-01,"Makanan, minuman & tembakau",2.334049108393241
2021-05-01,"Makanan, minuman & tembakau",3.053292123255601
2021-06-01,"Makanan, minuman & tembakau",1.8458096392281198
2021-07-01,"Makanan, minuman & tembakau",2.74204150624472
2021-08-01,"Makanan, minuman & tembakau",3.305863408165207
2021-09-01,"Makanan, minuman & tembakau",3.204031184635853
2021-10-01,"Makanan, minuman & tembakau",3.0050241729073863
2021-11-01,"Makanan, minuman & tembakau",2.979323308270665
2021-12-01,"Makanan, minuman & tembakau",3.0928789702750286
2022-01-01,"Makanan, minuman & tembakau",3.453660328832544
2022-02-01,"Makanan, minuman & tembakau",2.5057365764112016
2022-03-01,"Makanan, minuman & tembakau",3.5926501508364503
2021-01-01,Makanan,2.6688194510399734
2021-02-01,Makanan,1.5971439308530657
2021-03-01,Makanan,2.0573038985439154
2021-04-01,Makanan,2.2259791490560765
2021-05-01,Makanan,3.1518354251203204
2021-06-01,Makanan,1.6050309742819537
2021-07-01,Makanan,2.7877868386118076
2021-08-01,Makanan,3.5018708625155828
2021-09-01,Makanan,3.26873011281458
2021-10-01,Makanan,2.959830866807609
2021-11-01,Makanan,2.910128388017107
2021-12-01,Makanan,3.0447370878864346
2022-01-01,Makanan,3.3302497687326635
2022-02-01,Makanan,2.089883484372115
2022-03-01,Makanan,3.4057437407952897
2021-01-01,Minuman nonalkohol,1.1182108626198062
2021-02-01,Minuman nonalkohol,1.468097120271022
2021-03-01,Minuman nonalkohol,1.3059000375798577
2021-04-01,Minuman nonalkohol,1.2652296157450744
2021-05-01,Minuman nonalkohol,1.2267066204700703
2021-06-01,Minuman nonalkohol,1.3839536188516963
2021-07-01,Minuman nonalkohol,1.4110830763479962
2021-08-01,Minuman nonalkohol,1.53142216826968
2021-09-01,Minuman nonalkohol,1.5683345780433091
2021-10-01,Minuman nonalkohol,1.5933656354826762
2021-11-01,Minuman nonalkohol,1.582720417093383
2021-12-01,Minuman nonalkohol,1.6640327228781318
2022-01-01,Minuman nonalkohol,1.9050274138091228
2022-02-01,Minuman nonalkohol,1.7065479502875194
2022-03-01,Minuman nonalkohol,1.9104145414077738
2021-01-01,Minuman beralkohol,-0.4365117858182198
2021-02-01,Minuman beralkohol,-0.1260789448162113
2021-03-01,Minuman beralkohol,-0.02910925674364558
2021-04-01,Minuman beralkohol,0.10672358591249989
2021-05-01,Minuman beralkohol,0.44847421273277566
2021-06-01,Minuman beralkohol,0.8598788352550278
2021-07-01,Minuman beralkohol,0.21507478736924318
2021-08-01,Minuman beralkohol,0.5670153485189151
2021-09-01,Minuman beralkohol,1.4347484276729499
2021-10-01,Minuman beralkohol,0.6726457399103116
2021-11-01,Minuman beralkohol,1.0333398323259917
2021-12-01,Minuman beralkohol,1.1970802919708068
2022-01-01,Minuman beralkohol,1.9875292283710113
2022-02-01,Minuman beralkohol,2.7675276752767473
2022-03-01,Minuman beralkohol,3.6300106765019846
2021-01-01,Rokok & tembakau,5.27272727272727
2021-02-01,Rokok & tembakau,4.613443863759227
2021-03-01,Rokok & tembakau,4.133858267716526
2021-04-01,Rokok & tembakau,3.9871840512637986
2021-05-01,Rokok & tembakau,3.828090385467441
2021-06-01,Rokok & tembakau,3.979835500132661
2021-07-01,Rokok & tembakau,3.6119166886369625
2021-08-01,Rokok & tembakau,3.407303861611048
2021-09-01,Rokok & tembakau,4.045688377365072
2021-10-01,Rokok & tembakau,4.406897753004705
2021-11-01,Rokok & tembakau,4.563233376792699
2021-12-01,Rokok & tembakau,4.577770071094157
2022-01-01,Rokok & tembakau,5.604490500863566
2022-02-01,Rokok & tembakau,6.063738156761418
2022-03-01,Rokok & tembakau,6.3584808386320715
