month,expenditure_group,2021,2022
1,Minuman beralkohol,-0.4365117858182198,1.9875292283710113
2,Minuman beralkohol,-0.1260789448162113,2.7675276752767473
3,Minuman beralkohol,-0.02910925674364558,3.6300106765019846
4,Minuman beralkohol,0.10672358591249989,NA
5,Minuman beralkohol,0.44847421273277566,NA
6,Minuman beralkohol,0.8598788352550278,NA
7,Minuman beralkohol,0.21507478736924318,NA
8,Minuman beralkohol,0.5670153485189151,NA
9,Minuman beralkohol,1.4347484276729499,NA
10,Minuman beralkohol,0.6726457399103116,NA
11,Minuman beralkohol,1.0333398323259917,NA
12,Minuman beralkohol,1.1970802919708068,NA
