playlist_top_song,bins,valence_count
Global,"[0.05,0.15]",3
Global,"(0.15,0.25]",4
Global,"(0.25,0.35]",5
Global,"(0.35,0.45]",9
Global,"(0.45,0.55]",8
Global,"(0.55,0.65]",5
Global,"(0.65,0.75]",6
Global,"(0.75,0.85]",4
Global,"(0.85,0.95]",5
Global,"(0.95,1.05]",1
Indonesia,"[0.05,0.15]",8
Indonesia,"(0.15,0.25]",6
Indonesia,"(0.25,0.35]",11
Indonesia,"(0.35,0.45]",7
Indonesia,"(0.45,0.55]",10
Indonesia,"(0.55,0.65]",2
Indonesia,"(0.65,0.75]",2
Indonesia,"(0.75,0.85]",2
Indonesia,"(0.85,0.95]",2
Malaysia,"[0.05,0.15]",7
Malaysia,"(0.15,0.25]",8
Malaysia,"(0.25,0.35]",7
Malaysia,"(0.35,0.45]",6
Malaysia,"(0.45,0.55]",9
Malaysia,"(0.55,0.65]",4
Malaysia,"(0.65,0.75]",3
Malaysia,"(0.75,0.85]",2
Malaysia,"(0.85,0.95]",3
Malaysia,"(0.95,1.05]",1
