playlist_top_song,valence_mean
Afrika Selatan,0.49397800000000003
Amerika Serikat,0.461228
Arab Saudi,0.50003
Argentina,0.55262
Australia,0.5113
Austria,0.560612
Belanda,0.58086
Belarus,0.471522
Belgia,0.530932
Brasil,0.65496
Cile,0.57686
Denmark,0.55556
Ekuador,0.52592
Filipina,0.414966
Finlandia,0.573118
Global,0.525066
Guatemala,0.51902
Hong Kong,0.49522
Hungaria,0.548538
India,0.457544
Indonesia,0.38812
Inggris,0.523798
Irlandia,0.513158
Israel,0.555478
Italia,0.53656
Jepang,0.57798
Jerman,0.544588
Kanada,0.502646
Kazakhstan,0.469022
Kolombia,0.54214
Korea Selatan,0.547662
Malaysia,0.42454400000000003
Maroko,0.48671224489795917
Meksiko,0.55008
Mesir,0.544498
Nigeria,0.60568
Norwegia,0.500284
Pakistan,0.44044
Panama,0.50939
Peru,0.53186
Polandia,0.589378
Prancis,0.594418
Republik Ceko,0.536578
Republik Dominika,0.5263
Rumania,0.487898
Selandia Baru,0.508042
Singapura,0.504006
Slovakia,0.506118
Spanyol,0.54142
Swedia,0.511294
Swiss,0.55705
Taiwan,0.40574
Thailand,0.55858
Turki,0.479418
UEA,0.523346
Ukraina,0.465122
Venezuela,0.5036
Vietnam,0.49124
