twitter_handle,date_cutoff_start,date_cutoff_end,tweet_latest_prepoll,rt_latest_prepoll,fav_latest_prepoll,reaction_latest_prepoll,reaction_per_tweet_latest_pp
AgusYudhoyono,2022-03-10T21:37:50Z,2022-04-10T08:07:50Z,44,4352,17877,22229,505.20454545454544
airlangga_hrt,2022-03-14T03:07:16Z,2022-04-13T13:37:16Z,208,1235,2740,3975,19.110576923076923
aniesbaswedan,2022-03-13T18:32:02Z,2022-04-13T05:02:02Z,25,7936,56125,64061,2562.44
bambangsoesatyo,2010-05-15T00:20:24Z,2010-06-14T10:50:24Z,431,441,515,956,2.2180974477958237
cakimiNOW,2022-03-13T09:30:47Z,2022-04-12T20:00:47Z,53,8330,13784,22114,417.24528301886795
erickthohir,2022-03-14T02:24:52Z,2022-04-13T12:54:52Z,102,5159,33811,38970,382.05882352941177
ganjarpranowo,2022-03-13T23:21:33Z,2022-04-13T09:51:33Z,198,12243,97464,109707,554.0757575757576
KhofifahIP,2021-07-31T14:13:03Z,2021-08-31T00:43:03Z,17,136,1290,1426,83.88235294117646
mohmahfudmd,2022-03-13T20:42:50Z,2022-04-13T07:12:50Z,19,1558,9905,11463,603.3157894736842
Nurmantyo_Gatot,2019-08-12T05:09:21Z,2019-09-11T15:39:21Z,1,567,4792,5359,5359
prabowo,2021-03-26T03:48:04Z,2021-04-25T14:18:04Z,4,1724,12562,14286,3571.5
puanmaharani_ri,2022-03-12T23:18:08Z,2022-04-12T09:48:08Z,263,2502,10152,12654,48.11406844106464
ridwankamil,2022-03-14T00:50:53Z,2022-04-13T11:20:53Z,149,4279,23138,27417,184.00671140939596
sandiuno,2022-03-14T11:04:47Z,2022-04-13T21:34:47Z,651,2658,28012,30670,47.11213517665131
Suharso_M,2022-03-11T07:32:41Z,2022-04-10T18:02:41Z,21,312,646,958,45.61904761904762
syaikhu_ahmad,2022-03-07T11:47:30Z,2022-04-06T22:17:30Z,5,34,185,219,43.8
Tri_Rismaharini,2018-04-12T22:02:52Z,2018-05-13T08:32:52Z,1,78,180,258,258
ZUL_Hasan,2022-01-28T19:39:44Z,2022-02-28T06:09:44Z,15,54,144,198,13.2
